row_id,order_priority,discount,unit_price,shipping_cost,customer_id,customer_name,ship_mode,customer_segment,product_category,product_sub_category,product_container,product_name,product_base_margin,country,region,state_or_province,city,postal_code,order_date,ship_date,profit,quantity,sales,order_id,year,month,day,total_amount,delivery_days,order_frequency
694,Critical,0.05,6.48,8.73,2882,Andrew Gonzalez,Regular Air,Consumer,Office Supplies,Paper,Small Box,Xerox 227,0.37,United States,South,North Carolina,Charlotte,28206,09-05-2015,09-05-2015,-160.3847,35,232.5,4839,2015,5,9,232.5,0,8
770,Low,0.02,5.58,5.3,272,Eleanor Swain,Regular Air,Home Office,Office Supplies,Envelopes,Small Box,Staples Brown Kraft Recycled Clasp Envelopes,0.35,United States,South,North Carolina,Charlotte,28204,07-04-2015,12-04-2015,-29.8984,11,68.46,5509,2015,4,7,68.46,5,4
771,Low,0.03,40.89,18.98,272,Eleanor Swain,Regular Air,Home Office,Furniture,Office Furnishings,Small Box,Eldon Executive Woodline II Cherry Finish Desk Accessories,0.57,United States,South,North Carolina,Charlotte,28204,07-04-2015,14-04-2015,52.9166,21,885.23,5509,2015,4,7,885.23,7,4
819,High,0.07,155.06,7.07,2431,Troy Cassidy,Regular Air,Consumer,Office Supplies,Storage & Organization,Small Box,"Dual Level, Single-Width Filing Carts",0.59,United States,West,California,Los Angeles,90004,19-05-2015,19-05-2015,-121.75,14,2039.07,5920,2015,5,19,2039.07,0,2
830,Low,0.03,10.64,5.16,1193,Louis Parrish,Regular Air,Consumer,Furniture,Office Furnishings,Small Box,"Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry",0.57,United States,East,District of Columbia,Washington,20016,17-06-2015,22-06-2015,14.48,63,696.96,5984,2015,6,17,696.96,5,7
831,Low,0.03,7.96,4.95,1193,Louis Parrish,Regular Air,Consumer,Furniture,Office Furnishings,Small Box,Staples Plastic Wall Frames,0.41,United States,East,District of Columbia,Washington,20016,17-06-2015,19-06-2015,22.25,17,149.41,5984,2015,6,17,149.41,2,7
914,Critical,0.02,1360.14,14.7,491,Toni Swanson,Delivery Truck,Consumer,Technology,Office Machines,Jumbo Drum,Okidata ML395C Color Dot Matrix Printer,0.59,United States,East,New York,New York City,10154,20-06-2015,22-06-2015,2028.12,22,31670.6,6562,2015,6,20,31670.6,2,4
1008,High,0.09,16.98,12.39,2189,Frank Cross,Regular Air,Corporate,Office Supplies,Envelopes,Small Box,Brown Kraft Recycled Envelopes,0.35,United States,East,New York,New York City,10177,08-05-2015,10-05-2015,-48.57,22,381.91,7364,2015,5,8,381.91,2,1
1041,Critical,0.03,300.65,24.49,3011,Tammy Raynor,Regular Air,Corporate,Office Supplies,Appliances,Large Box,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,0.52,United States,East,Massachusetts,Boston,2113,28-04-2015,30-04-2015,1282.496,32,9705.46,7623,2015,4,28,9705.46,2,4
1042,Critical,0.06,49.99,19.99,3011,Tammy Raynor,Regular Air,Corporate,Technology,Computer Peripherals,Small Box,US Robotics 56K V.92 Internal PCI Faxmodem,0.45,United States,East,Massachusetts,Boston,2113,28-04-2015,30-04-2015,17.2,67,3247.54,7623,2015,4,28,3247.54,2,4
1043,Critical,0.1,104.85,4.65,3011,Tammy Raynor,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1941,0.37,United States,East,Massachusetts,Boston,2113,28-04-2015,29-04-2015,1184.12,58,5582.63,7623,2015,4,28,5582.63,1,4
1074,High,0.03,4.26,1.2,117,Linda Weiss,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,"Dixon PrangÂ® Watercolor Pencils, 10-Color Set with Brush",0.44,United States,West,Washington,Seattle,98103,03-01-2015,04-01-2015,9.82,29,122.23,7909,2015,1,3,122.23,1,4
1115,Low,0.01,4.98,7.44,553,Kristine Connolly,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1922,0.36,United States,West,California,Los Angeles,90008,15-04-2015,24-04-2015,-179.592,63,330.21,8165,2015,4,15,330.21,9,4
1128,Low,0.02,48.04,5.09,949,Ernest Oh,Regular Air,Consumer,Office Supplies,Paper,Small Box,Xerox 1910,0.37,United States,West,California,Los Angeles,90049,22-03-2015,26-03-2015,373.67,18,881.32,8257,2015,3,22,881.32,4,2
1147,Medium,0.08,2.94,0.96,491,Toni Swanson,Regular Air,Consumer,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 343,0.58,United States,East,New York,New York City,10154,15-05-2015,17-05-2015,-2.12,23,66.7,8353,2015,5,15,66.7,2,4
1225,Low,0.1,40.48,19.99,698,Nelson Hensley,Regular Air,Corporate,Technology,Computer Peripherals,Small Box,Keytronic Designer 104- Key Black Keyboard,0.77,United States,West,Washington,Seattle,98105,07-04-2015,09-04-2015,-580.32,36,1423.35,8994,2015,4,7,1423.35,2,5
1279,Critical ,0.06,40.98,2.99,949,Ernest Oh,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",0.36,United States,West,California,Los Angeles,90049,02-01-2015,04-01-2015,-19.0992,3,124.81,9285,2015,1,2,124.81,2,2
1311,Not Specified,0.02,12.53,0.49,898,Harriet Hodges,Regular Air,Small Business,Office Supplies,Labels,Small Box,Round Specialty Laser Printer Labels,0.38,United States,East,New York,New York City,10039,27-01-2015,27-01-2015,263.4,47,594.44,9606,2015,1,27,594.44,0,4
1312,Not Specified,0.07,5.18,2.04,898,Harriet Hodges,Express Air,Small Business,Office Supplies,Paper,Wrap Bag,ArrayÂ® Memo Cubes,0.36,United States,East,New York,New York City,10039,27-01-2015,29-01-2015,37.31,44,228.5,9606,2015,1,27,228.5,2,4
1417,Medium,0,65.99,5.26,1413,Pamela Wiley,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,g520,0.59,United States,East,Massachusetts,Boston,2113,07-04-2015,08-04-2015,542.25,36,2144.92,10277,2015,4,7,2144.92,1,2
1450,Critical,0.01,4.98,6.07,491,Toni Swanson,Regular Air,Consumer,Office Supplies,Paper,Small Box,Xerox 1897,0.36,United States,East,New York,New York City,10154,10-02-2015,11-02-2015,-69.07,41,217,10464,2015,2,10,217,1,4
1529,High,0.01,125.99,8.99,2867,Dana Teague,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,M70,0.59,United States,East,District of Columbia,Washington,20016,17-04-2015,18-04-2015,-582.648,2,226.88,11013,2015,4,17,226.88,1,1
1539,Low,0.06,160.98,35.02,640,Neal Wolfe,Delivery Truck,Consumer,Furniture,Bookcases,Jumbo Box,Rush Hierlooms Collection Rich Wood Bookcases,0.72,United States,West,Washington,Seattle,98119,20-03-2015,24-03-2015,-229.68,30,4620.05,11077,2015,3,20,4620.05,4,4
1552,Low,0.09,49.99,19.99,1193,Louis Parrish,Regular Air,Small Business,Technology,Computer Peripherals,Small Box,Zoom V.92 USB External Faxmodem,0.41,United States,East,District of Columbia,Washington,20016,28-06-2015,30-06-2015,-17.03,48,2373.32,11206,2015,6,28,2373.32,2,7
1553,Low,0.03,28.53,1.49,1193,Louis Parrish,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,Lock-Up Easel 'Spel-Binder',0.38,United States,East,District of Columbia,Washington,20016,28-06-2015,01-07-2015,39.627,11,325.73,11206,2015,6,28,325.73,3,7
1595,Medium,0.04,99.23,8.99,349,Kim Weiss,Regular Air,Home Office,Furniture,Office Furnishings,Small Pack,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",0.35,United States,South,Florida,Miami,33132,02-01-2015,04-01-2015,1916.6757,54,5555.6,11527,2015,1,2,5555.6,2,2
1617,Low,0.06,4.28,0.94,2491,Sean N Boyer,Regular Air,Consumer,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 336,0.56,United States,West,California,Los Angeles,90045,26-04-2015,28-04-2015,0.37,9,38.96,11712,2015,4,26,38.96,2,7
1692,High,0.04,124.49,51.94,1745,Herbert Holden,Delivery Truck,Consumer,Furniture,Tables,Jumbo Box,Bevis 36 x 72 Conference Tables,0.63,United States,South,Georgia,Atlanta,30305,12-06-2015,14-06-2015,-247.55157,4,605.82,12224,2015,6,12,605.82,2,4
1693,High,0.1,35.99,5,1745,Herbert Holden,Regular Air,Consumer,Technology,Telephones and Communication,Wrap Bag,Accessory17,0.82,United States,South,Georgia,Atlanta,30305,12-06-2015,12-06-2015,-277.20924,54,1569,12224,2015,6,12,1569,0,4
1739,Medium,0,137.48,32.18,3079,Andrew Levine,Delivery Truck,Small Business,Furniture,Bookcases,Jumbo Box,O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,0.78,United States,East,Pennsylvania,Philadelphia,19112,07-01-2015,08-01-2015,-203.27,10,1483.76,12480,2015,1,7,1483.76,1,7
1863,Low,0.04,60.65,12.23,1745,Herbert Holden,Regular Air,Home Office,Furniture,Office Furnishings,Medium Box,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",0.64,United States,South,Georgia,Atlanta,30305,14-02-2015,16-02-2015,116.5063,4,256.77,13408,2015,2,14,256.77,2,4
1898,Not Specified,0.07,3.38,0.85,2382,Geoffrey Saunders,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,Avery Hi-LiterÂ® Fluorescent Desk Style Markers,0.48,United States,East,New York,New York City,10024,26-04-2015,28-04-2015,19.04,34,109.86,13606,2015,4,26,109.86,2,3
1917,Medium,0.02,7.64,1.39,1129,Pam Patton,Regular Air,Home Office,Office Supplies,Envelopes,Small Box,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",0.36,United States,East,Massachusetts,Boston,2118,21-05-2015,23-05-2015,117.38,52,406.91,13735,2015,5,21,406.91,2,6
1950,Medium,0.01,4.91,0.5,117,Linda Weiss,Regular Air,Home Office,Office Supplies,Labels,Small Box,Avery 493,0.36,United States,West,Washington,Seattle,98103,04-04-2015,06-04-2015,112.06,47,228.46,13959,2015,4,4,228.46,2,4
1951,Medium,0.09,4,1.3,117,Linda Weiss,Express Air,Home Office,Office Supplies,Paper,Wrap Bag,EcoTonesÂ® Memo Sheets,0.37,United States,West,Washington,Seattle,98103,04-04-2015,06-04-2015,16.79,19,77.61,13959,2015,4,4,77.61,2,4
1976,Not Specified,0.04,6.28,5.41,1682,Julie Edwards,Regular Air,Consumer,Furniture,Office Furnishings,Small Box,EldonÂ® 200 Classâ¢ Desk Accessories,0.53,United States,Central,Illinois,Chicago,60611,14-02-2015,16-02-2015,-38.38,43,284.48,14115,2015,2,14,284.48,2,2
2045,Critical,0.01,8.34,0.96,894,Gail Rankin Cole,Regular Air,Corporate,Furniture,Office Furnishings,Wrap Bag,Document Clip Frames,0.43,United States,East,District of Columbia,Washington,20024,10-01-2015,12-01-2015,29.332,24,199.12,14596,2015,1,10,199.12,2,3
2046,Critical,0.06,3.28,3.97,894,Gail Rankin Cole,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 337,0.56,United States,East,District of Columbia,Washington,20024,10-01-2015,11-01-2015,-86,19,63.14,14596,2015,1,10,63.14,1,3
2063,Low,0.06,19.23,6.15,3075,Gordon Brandt,Regular Air,Corporate,Furniture,Office Furnishings,Small Pack,"Executive Impressions 13"" Clairmont Wall Clock",0.44,United States,West,California,Los Angeles,90061,28-02-2015,28-02-2015,-25.38,4,84.6,14756,2015,2,28,84.6,0,1
2065,High,0.08,4.91,0.5,2491,Sean N Boyer,Regular Air,Consumer,Office Supplies,Labels,Small Box,Avery 493,0.36,United States,West,California,Los Angeles,90045,09-04-2015,09-04-2015,31.752,36,170.75,14785,2015,4,9,170.75,0,7
2066,High,0.02,28.15,6.17,2491,Sean N Boyer,Regular Air,Consumer,Office Supplies,Pens & Art Supplies,Small Pack,"Boston Model 1800 Electric Pencil Sharpener, Gray",0.55,United States,West,California,Los Angeles,90045,09-04-2015,10-04-2015,117.208,45,1339.42,14785,2015,4,9,1339.42,1,7
2296,Not Specified,0.09,355.98,58.92,2498,Arlene Long,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,Hon 4700 Series Mobuisâ¢ Mid-Back Task Chairs with Adjustable Arms,0.64,United States,West,California,San Diego,92024,18-02-2015,20-02-2015,1240.25,30,10554.63,16547,2015,2,18,10554.63,2,4
2297,Not Specified,0.04,218.75,69.64,2498,Arlene Long,Delivery Truck,Corporate,Furniture,Tables,Jumbo Box,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,0.77,United States,West,California,San Diego,92024,18-02-2015,18-02-2015,-533.232,8,1749.64,16547,2015,2,18,1749.64,0,4
2314,High,0.07,28.99,8.59,2882,Andrew Gonzalez,Regular Air,Consumer,Technology,Telephones and Communication,Medium Box,SouthWestern Bell FA970 Digital Answering Machine with Time/Day Stamp,0.56,United States,South,North Carolina,Charlotte,28206,19-03-2015,19-03-2015,-16.06374,39,936.8,16676,2015,3,19,936.8,0,8
2368,Medium,0,6.88,2,553,Kristine Connolly,Express Air,Home Office,Office Supplies,Paper,Wrap Bag,"Adams Phone Message Book, 200 Message Capacity, 8 1/16â x 11â",0.39,United States,West,California,Los Angeles,90008,28-01-2015,29-01-2015,34.068,36,267.53,17155,2015,1,28,267.53,1,4
2408,Critical,0,8.34,2.64,349,Kim Weiss,Express Air,Home Office,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,AcmeÂ® Elite Stainless Steel Scissors,0.59,United States,South,Florida,Miami,33132,09-06-2015,11-06-2015,5.8625,23,212.89,17446,2015,6,9,212.89,2,2
2428,Low,0.03,2.94,0.96,962,Yvonne Clarke,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 343,0.58,United States,Central,Illinois,Chicago,60610,04-02-2015,08-02-2015,-4.2,2,7.01,17636,2015,2,4,7.01,4,1
2571,Not Specified,0.02,4.13,6.89,1745,Herbert Holden,Regular Air,Home Office,Office Supplies,Labels,Small Box,"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",0.39,United States,South,Georgia,Atlanta,30305,09-01-2015,10-01-2015,-51.737,9,45.87,18561,2015,1,9,45.87,1,4
2628,Critical,0.07,40.98,7.47,1280,Harold Albright,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",0.37,United States,West,Washington,Seattle,98119,01-03-2015,02-03-2015,54.9015,8,327.61,19042,2015,3,1,327.61,1,1
2768,Not Specified,0.08,1.68,1.57,2498,Arlene Long,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 323,0.59,United States,West,California,San Diego,92024,05-02-2015,06-02-2015,-46.25,88,148.36,20007,2015,2,5,148.36,1,4
2808,Medium,0.04,6.35,1.02,1106,Maxine Collier Grady,Regular Air,Small Business,Office Supplies,Paper,Wrap Bag,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",0.39,United States,Central,Texas,Dallas,75220,20-05-2015,23-05-2015,81.91,52,318.47,20261,2015,5,20,318.47,3,3
2986,Critical,0.03,194.3,11.54,3342,Paul Tate,Regular Air,Home Office,Furniture,Office Furnishings,Large Box,Electrix Halogen Magnifier Lamp,0.59,United States,East,District of Columbia,Washington,20006,13-02-2015,15-02-2015,2861.01,42,8549.04,21572,2015,2,13,8549.04,2,1
3004,Low,0,22.38,15.1,1340,Marie Bass,Express Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,"Avery Flip-Chart Easel Binder, Black",0.38,United States,East,New York,New York City,10170,10-02-2015,17-02-2015,-52.647,29,682.68,21636,2015,2,10,682.68,7,4
3005,Low,0.07,5.98,4.69,1340,Marie Bass,Regular Air,Home Office,Office Supplies,Storage & Organization,Small Box,"Perma STOR-ALLâ¢ Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",0.68,United States,East,New York,New York City,10170,10-02-2015,15-02-2015,-24.44,11,73.44,21636,2015,2,10,73.44,5,4
3006,Low,0.02,55.99,3.3,1340,Marie Bass,Regular Air,Home Office,Technology,Telephones and Communication,Small Pack,Accessory24,0.59,United States,East,New York,New York City,10170,10-02-2015,10-02-2015,366.507,63,2997.07,21636,2015,2,10,2997.07,0,4
3065,High,0.09,363.25,19.99,2882,Andrew Gonzalez,Regular Air,Consumer,Office Supplies,Appliances,Small Box,Hoover WindTunnelâ¢ Plus Canister Vacuum,0.57,United States,South,North Carolina,Charlotte,28206,05-06-2015,06-06-2015,732.2698,21,7497.05,21958,2015,6,5,7497.05,1,8
3086,Low,0.04,22.72,8.99,667,Allison Kirby,Regular Air,Corporate,Furniture,Office Furnishings,Small Pack,"Executive Impressions 14"" Two-Color Numerals Wall Clock",0.44,United States,Central,Texas,Dallas,75203,16-01-2015,20-01-2015,70.028,37,832.14,22147,2015,1,16,832.14,4,2
3167,Medium,0.04,5.34,2.99,1314,Keith Marsh,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,0.38,United States,West,California,Los Angeles,90058,30-03-2015,01-04-2015,3.451,45,240.6,22755,2015,3,30,240.6,2,4
3168,Medium,0.06,55.99,5,1314,Keith Marsh,Regular Air,Home Office,Technology,Telephones and Communication,Small Pack,Accessory6,0.8,United States,West,California,Los Angeles,90058,30-03-2015,01-04-2015,-275.253,5,236.88,22755,2015,3,30,236.88,2,4
3212,Medium,0.04,419.19,19.99,2491,Sean N Boyer,Regular Air,Home Office,Office Supplies,Storage & Organization,Small Box,Smead Adjustable Mobile File Trolley with Lockable Top,0.58,United States,West,California,Los Angeles,90045,26-04-2015,27-04-2015,1947.67,20,8048.45,23042,2015,4,26,8048.45,1,7
3323,Medium,0.01,220.98,64.66,2747,Brian Grady,Delivery Truck,Corporate,Furniture,Bookcases,Jumbo Box,"Bush Cubix Collection Bookcases, Fully Assembled",0.62,United States,East,New York,New York City,10115,18-03-2015,19-03-2015,1049.03,44,10364.36,23751,2015,3,18,10364.36,1,2
3338,Not Specified,0.07,65.99,8.8,2491,Sean N Boyer,Regular Air,Home Office,Technology,Telephones and Communication,Small Box,6120,0.58,United States,West,California,Los Angeles,90045,12-01-2015,12-01-2015,109.836,37,1939.03,23877,2015,1,12,1939.03,0,7
3339,Not Specified,0,10.01,1.99,2491,Sean N Boyer,Express Air,Home Office,Technology,Computer Peripherals,Small Pack,TDK 4.7GB DVD-R,0.41,United States,West,California,Los Angeles,90045,12-01-2015,14-01-2015,128.03,42,457.63,23877,2015,1,12,457.63,2,7
3392,Not Specified,0.02,200.98,55.96,373,Jeanne Werner,Delivery Truck,Small Business,Furniture,Bookcases,Jumbo Box,O'Sullivan Living Dimensions 3-Shelf Bookcases,0.75,United States,Central,Michigan,Detroit,48234,14-03-2015,16-03-2015,-163.63,45,9539.6,24193,2015,3,14,9539.6,2,3
3393,Not Specified,0.02,4.28,5.17,373,Jeanne Werner,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 1971,0.4,United States,Central,Michigan,Detroit,48234,14-03-2015,15-03-2015,-63.87,24,109.86,24193,2015,3,14,109.86,1,3
3394,Not Specified,0.04,85.99,0.99,373,Jeanne Werner,Regular Air,Small Business,Technology,Telephones and Communication,Wrap Bag,Accessory4,0.85,United States,Central,Michigan,Detroit,48234,14-03-2015,16-03-2015,-175.175,19,1426.51,24193,2015,3,14,1426.51,2,3
3406,Not Specified,0.03,200.97,15.59,3196,Rick Foster Hawkins,Delivery Truck,Home Office,Technology,Office Machines,Jumbo Drum,Hewlett-Packard Deskjet 6122 Color Inkjet Printer,0.36,United States,West,California,San Francisco,94109,02-02-2015,03-02-2015,1951.3,43,8717.75,24294,2015,2,2,8717.75,1,1
3431,Not Specified,0.07,3.98,0.83,1340,Marie Bass,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,Fluorescent Highlighters by Dixon,0.51,United States,East,New York,New York City,10170,06-06-2015,09-06-2015,27.38,76,282.85,24455,2015,6,6,282.85,3,4
3490,Not Specified,0.05,8.85,5.6,2431,Troy Cassidy,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,GBC Standard Plastic Binding Systems Combs,0.36,United States,West,California,Los Angeles,90004,10-06-2015,11-06-2015,-9.177,21,199.08,24869,2015,6,10,199.08,1,2
3684,Low,0.02,9.99,11.59,1959,Bonnie Matthews Rowland,Regular Air,Home Office,Office Supplies,Paper,Small Box,Hammermill Color Copier Paper (28Lb. and 96 Bright),0.4,United States,South,Florida,Miami,33916,18-04-2015,27-04-2015,-171.1577,43,475.42,26342,2015,4,18,475.42,9,4
3685,Low,0.02,48.04,5.79,1959,Bonnie Matthews Rowland,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1937,0.37,United States,South,Florida,Miami,33916,18-04-2015,23-04-2015,624.239,74,3598.82,26342,2015,4,18,3598.82,5,4
3686,Low,0.04,6.68,4.91,1959,Bonnie Matthews Rowland,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1986,0.37,United States,South,Florida,Miami,33916,18-04-2015,25-04-2015,-14.3241,5,41.22,26342,2015,4,18,41.22,7,4
3791,Low,0.05,80.98,35,1314,Keith Marsh,Regular Air,Home Office,Office Supplies,Storage & Organization,Large Box,Carina Double Wide Media Storage Towers in Natural & Black,0.81,United States,West,California,Los Angeles,90058,05-01-2015,09-01-2015,-746.44,34,2710.47,27013,2015,1,5,2710.47,4,4
3792,Low,0.05,279.48,35,1314,Keith Marsh,Regular Air,Home Office,Office Supplies,Storage & Organization,Large Box,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",0.8,United States,West,California,Los Angeles,90058,05-01-2015,05-01-2015,-274.95,31,8354.73,27013,2015,1,5,8354.73,0,4
3847,Not Specified,0.05,328.14,91.05,1104,Timothy Ross,Delivery Truck,Home Office,Office Supplies,Appliances,Jumbo Drum,"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",0.57,United States,East,New York,New York City,10282,10-04-2015,11-04-2015,772.04,29,9492.92,27456,2015,4,10,9492.92,1,1
3926,Critical,0.02,209.84,21.21,1044,Erin Ballard,Regular Air,Home Office,Furniture,Office Furnishings,Large Box,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,0.59,United States,West,California,Los Angeles,90004,14-06-2015,14-06-2015,2593.14,62,13546.94,28001,2015,6,14,13546.94,0,3
3927,Critical,0.01,194.3,11.54,1044,Erin Ballard,Regular Air,Home Office,Furniture,Office Furnishings,Large Box,Electrix Halogen Magnifier Lamp,0.59,United States,West,California,Los Angeles,90004,14-06-2015,16-06-2015,1162.76,32,6401.65,28001,2015,6,14,6401.65,2,3
